show_id,created_by_type_id
1399,24015
1399,627
71446,481
66732,13781
66732,3222
1402,12044
63174,16416
69050,14745
93405,26785
1396,21031
71712,15360
85271,16703
60735,18236
60735,6083
60735,17301
1418,10217
1418,11817
84958,26159
1416,16262
82856,11135
456,10941
85552,16689
75006,661
60574,11376
76669,24139
76669,434
76479,10295
60625,7117
60625,20259
18165,24436
18165,5569
88396,24084
48866,13270
119051,28341
119051,6665
1668,19368
1668,27408
1622,10295
81356,26768
44217,15102
70523,24790
70523,22388
1408,15360
77169,14772
77169,3231
77169,28314
1412,18236
1412,13082
1412,17301
87108,13940
1413,13278
1413,22811
71912,5430
12637,1355
63247,4525
63247,10771
82883,21072
82883,16704
19885,9582
19885,15517
62286,17880
62286,13300
2288,30086
37680,10888
70785,7575
42009,11753
1100,23257
1100,26352
60059,23155
60059,21031
65334,23956
105214,13915
62560,20468
12971,14414
100088,13940
100088,5083
61889,10848
62688,18236
62688,30044
62688,17301
2004,14814
1434,6245
66788,30420
2190,29175
2190,23032
87739,22997
87739,22818
34524,6321
4604,28341
4604,6665
90462,23759
90462,18198
90462,21072
60797,24255
1405,28562
1405,23964
4607,16672
4607,10667
4607,10898
246,14831
246,30043
2316,10520
2316,18579
2316,10394
94997,1122
94997,30840
4057,6321
2734,12022
5920,31834
46331,26013
94605,28031
94605,24628
99966,8812
99966,26734
99966,30208
79242,14745
1403,8577
1403,13895
1403,24013
80213,30924
71886,12764
71886,26742
71886,4816
60708,31834
16286,28248
46896,5569
104877,25306
1911,17626
88329,11653
48891,29758
48891,24998
39351,24443
39351,5595
39351,28549
615,10941
2691,10217
2691,9427
46952,7572
86831,4502
19614,7259
78191,18236
78191,9071
46648,11459
74577,11821
44953,29858
44953,22451
44953,8294
79460,5569
387,23682
4087,14904
67335,1460
57243,1243
57243,14179
57243,17478
60866,5412
60866,15652
1409,20941
67915,25636
67915,18013
40075,18140
63351,4295
63351,23739
63351,4513
75450,28044
75450,18236
75450,6083
15260,1756
69478,27146
31917,23355
1425,10144
56570,1980
92749,10750
1421,9503
1421,21539
110492,1793
62455,481
62455,12279
62455,24240
62455,25895
62710,13968
1398,27062
60622,1267
34307,27289
34307,31780
102903,9543
102903,3120
102903,26578
113988,13278
113988,14594
115036,11135
1424,16897
84773,30959
84773,25259
67178,28481
46296,20096
58841,12022
58841,20520
62127,12474
75219,13278
75219,22811
80752,11376
1705,16672
1705,13490
1705,4995
62643,18236
62643,13082
62643,6490
62643,17301
71728,10217
71728,16955
16997,26361
40008,3688
67744,11660
61222,18534
1981,23005
38472,14323
63639,3097
63639,26350
1892,11699
1892,30451
4614,12436
4614,21139
95057,18236
95057,24088
91239,22402
1639,3078
44006,18687
44006,5817
1407,8520
1407,9968
1407,6246
69740,10867
69740,2003
45871,12279
72844,19395
39272,9023
39272,21295
52814,26998
52814,20469
11250,18051
1438,15765
90239,8845
105,11174
1433,6245
1433,16321
1433,21319
1395,11395
1395,1513
35610,3511
89641,27974
33880,14831
33880,30043
1437,8577
96677,30424
96677,22660
96677,6469
96677,14334
96677,18
92783,18593
71914,6765
65494,16593
31132,21734
1920,12914
1920,20758
73586,4420
73586,25594
4194,21417
93741,26714
2038,21054
90802,22817
90802,1748
90802,6460
63401,5765
47,3396
71915,1748
77606,30306
12926,28128
1400,17061
1400,21996
90260,11821
90260,2017
110316,11634
110316,20917
68421,7687
61550,22565
61550,19430
10545,21504
45950,13789
1419,8644
47640,19854
47640,10413
693,10245
62046,13278
62046,14594
62046,18603
62046,22811
16420,7585
16420,14980
45782,28063
45782,15774
62126,29139
31356,26447
100883,12896
100883,18134
4556,26807
67198,13490
67198,3688
80743,1434
97180,12753
1606,11370
42035,481
42035,12279
85949,28044
85949,13490
85949,29024
85949,23278
32798,13490
32798,4995
32798,318
31251,21054
95,8577
64432,9071
4686,24806
4686,10746
4686,14456
4686,21679
63333,5398
1411,4525
97186,7340
97186,364
46298,29222
71411,19462
71411,29700
71411,25624
71411,13711
71411,9781
1415,8720
1620,7011
1620,2718
1620,27213
71740,25585
18347,7117
46639,11358
46639,3688
46786,10413
46786,25955
46786,21056
112888,29566
79744,17340
61056,20770
89247,6030
62264,9247
61664,7918
61664,6513
61664,8376
75758,13251
117581,26120
2098,4085
2098,29526
86430,9239
80240,24030
92685,8603
60573,26975
60573,24111
60573,8162
39340,5590
39340,27117
58474,20465
58474,8888
60743,22817
60743,2492
4629,31649
4629,11862
72637,22769
71789,10371
76773,28316
153312,25594
69629,3090
100834,12719
100834,28578
85723,16266
1972,1980
1972,1812
2085,29339
5371,21054
1973,5805
1973,30644
90461,7758
8358,31602
66573,29758
79696,21917
67136,15806
97175,22516
87784,1667
66292,16808
655,3393
84661,29708
97546,29538
97546,1078
97546,26807
97546,24806
89456,1339
52,20698
52,2643
52,7260
8592,10394
8592,29758
37606,14437
62285,6724
62285,27782
61923,6940
73375,10413
73375,22653
67195,1267
103768,3517
1420,10013
61617,18046
71790,31447
71790,30612
79501,15750
21510,5991
85720,10275
126280,2014
128839,10016
79788,10667
58450,28697
115857,1598
115857,27329
4589,7352
47665,28832
47665,24261
96462,3349
96462,9681
2490,17749
4616,19341
4616,30545
80968,4295
80968,23739
80968,4513
54671,14900
45815,10616
74016,19562
74016,3496
74016,3188
82596,11174
4327,13685
4327,4877
79525,31255
120168,16227
54650,19277
54650,9743
2384,1812
67070,26078
253,3393
4336,31579
4336,23131
56296,22503
56296,20267
76719,27674
76719,11104
76719,26703
107113,6866
107113,16802
86423,10413
86423,23544
86423,28905
72750,26078
115004,157
87689,11847
62017,23632
1891,12978
1891,25247
1891,31834
65708,29064
65708,11376
65708,16065
71024,24391
900,20883
900,14593
79680,18025
79680,20267
31268,1496
13027,28697
10283,9934
604,6647
604,16502
17610,27757
34967,4843
5451,1460
1431,7011
1431,2718
61175,19245
90027,8654
90027,31535
18011,9481
62823,5081
62823,29844
62823,18628
124834,5841
94305,22421
94305,27968
80986,6083
61852,18574
61852,21054
63407,4660
63407,21536
63407,17633
41727,24124
41727,12979
1104,28079
31072,9481
69061,9748
69061,20008
7842,26726
7842,580
4574,11475
4574,6506
4574,17003
66203,14458
66203,22769
73481,28248
64230,8678
64230,28613
64230,11727
90669,24790
90669,22388
2352,29564
2352,17561
62650,12022
62650,20520
105248,4091
102966,24838
86248,10394
4658,19558
4658,22873
62914,1994
81354,2552
6040,27330
6040,24806
6040,10746
6040,16502
6040,14456
6040,21679
33217,5417
33217,27941
93740,22817
71738,6245
1778,21054
68267,19854
1215,16416
605,10504
60948,16157
60948,30381
2309,21481
71578,21451
89393,13278
89393,21549
89393,22811
109958,19395
79649,23304
1044,13528
1044,25080
1044,28392
74204,23498
74204,7565
74204,27752
74204,16356
125910,1659
125910,26330
125910,25359
4313,1435
74440,11262
74440,22107
74440,23630
63109,13274
2710,19255
131927,31221
92782,17964
79240,5861
79240,3968
888,30032
73021,10941
50825,2124
50825,13490
50825,4995
50825,26926
92967,21129
92967,15992
92967,10571
39852,17171
91557,1318
91557,17065
1600,26447
1621,17095
18123,3460
18123,25707
18123,12289
1426,10443
63210,9892
2290,31649
2290,6261
93812,30078
1695,15891
3763,18224
3763,5438
80350,10023
4239,20218
4239,5336
897,6955
1404,11395
4500,26167
4500,28385
252,26152
252,19864
64513,2024
64513,16282
64513,19352
64513,2694
66276,28492
66276,29708
2317,14606
1516,10957
1516,29201
1988,2881
80169,25578
82747,7178
82747,31455
61859,27821
70593,11667
83125,19064
83125,2734
54344,5957
54344,10667
33907,20948
60802,8291
60802,20469
4630,21481
14141,22771
97513,24375
97513,14750
4586,3627
14814,4495
14814,6608
64122,28341
64122,6665
83867,12003
67133,318
89901,16812
98387,2784
98387,27127
76331,25250
2426,8577
2426,28549
95396,18700
67026,29644
67466,11395
67466,1513
72002,5621
72002,1513
72002,11395
1274,21504
7225,18034
7225,23906
7225,7971
7225,30603
1781,19247
1781,18727
607,15741
66330,3475
105971,28808
32726,21658
32726,8659
537,8089
127235,20370
127235,6550
71663,1519
65820,3979
86374,48
108978,24255
1855,3393
1855,11356
1855,31629
1855,1041
96160,26830
96160,30544
95601,1994
1996,26726
1996,580
95403,2095
83639,25481
433,18025
42573,14822
42573,24697
78722,7906
78722,123
6357,31215
46533,12151
61418,20055
2391,27895
106651,31681
106651,31212
62852,10946
62852,3172
62852,11940
34899,22463
82104,18508
82104,23146
65294,30991
65294,26358
96713,1756
96713,24545
61888,27624
113036,13278
113036,22811
85801,11066
31295,48
31109,24806
31109,10746
31109,14456
31109,21679
43020,11847
186,16897
61345,5414
61345,30389
74387,20830
74387,1644
48865,9722
48865,18504
119243,21054
46994,17466
75191,22108
62687,21949
32692,5514
32692,1668
114472,12124
60957,7313
60957,10878
240,29010
12782,1378
82700,25992
82700,6054
82700,23667
82700,27415
82700,25533
82700,31203
65988,23604
68349,20612
68349,483
68349,10566
61593,1081
61593,22519
71365,1980
56998,7579
4588,4271
54155,27821
60554,20370
60554,28808
60554,18833
49010,20596
2875,22578
110356,13429
110356,5686
100757,28062
100757,13734
100757,13728
4229,1339
3475,3073
80748,12022
80748,31174
2129,18295
2129,26135
80307,6249
87623,17440
87623,4795
87623,17781
124364,15442
1427,20525
84200,4085
84200,4390
1877,17709
1877,19047
73107,14563
73107,17775
53425,28696
2996,10520
2996,18579
62704,15748
62425,28263
62425,9206
73411,14915
73411,7617
1660,5717
61733,30105
61733,27028
1417,13278
1417,14594
1417,22811
1406,12627
81355,30503
2673,11395
70453,22068
3854,31739
3854,31038
32754,23318
32754,9176
88236,19881
88236,9357
3498,6253
76231,20941
76231,8758
79732,17810
39358,8200
314,16623
314,31629
65320,18477
1423,11987
1447,28794
116135,9729
2328,26425
2328,3880
9687,9928
9687,14710
580,3393
580,11356
580,31629
67773,25772
3452,26374
3452,20070
3452,2738
79410,10520
56295,4244
97400,19395
88055,20834
46901,5773
46901,7961
46901,25837
38693,27996
38693,17090
84977,19001
84977,26608
84977,29156
111110,20110
111110,9672
57532,13872
606,26491
95269,4941
2723,1339
94280,19245
34415,2685
65555,30391
46028,18224
68315,5959
95281,5600
95281,13050
2025,21769
2025,11174
45,649
45,105
45,24249
13023,3396
926,12782
926,6845
97727,15499
97727,27812
97727,18140
97727,17108
2660,27964
2228,22897
2228,220
70796,3627
67116,14537
67135,10750
160,10286
160,30622
98123,24772
82,220
66786,10295
66786,30612
2382,20759
4482,8365
83659,19854
68734,8294
4546,21996
1414,30612
3322,20858
33623,10213
33623,26573
33623,26534
21494,22771
21494,17443
67683,31649
76747,10923
76747,28301
76747,30485
93484,20096
47450,28341
47450,6665
68878,29928
4018,12436
68716,12474
3022,28925
3022,15626
3022,24789
90814,13429
90814,5654
83851,16808
69470,23756
2458,7011
2458,2718
2458,27213
86850,9582
86850,15517
86850,27633
67557,649
67557,15035
67557,7663
67557,105
38974,31495
2942,15102
5148,31649
5148,6261
2207,12060
2207,12265
1436,25662
112836,23149
112836,26830
112836,9474
112836,23805
4610,3699
4610,8176
4610,5149
59427,24806
59427,10746
59427,14456
59427,21679
73777,13866
80828,8577
61611,16736
18685,28248
65495,26839
104819,18318
104819,14860
104555,12094
104555,18657
82816,1925
4345,27597
44305,11123
17572,24316
4605,14129
4605,1552
62816,15521
197067,25163
197067,27992
4608,24671
111803,14027
60694,10075
1481,31535
1481,17443
66857,28820
32351,20481
32351,17169
86382,21176
86382,10371
720,213
1422,1333
1422,31516
51817,10286
51817,30622
873,12119
873,9223
106541,5430
106541,24306
40293,22817
652,29745
42025,31200
96580,13117
15819,29424
15819,24372
136315,3988
57911,23736
1063,4547
918,2255
12777,9483
12777,28697
12777,2825
11721,27350
11721,11665
33765,13991
9160,920
111141,14360
61389,5322
61389,23277
2046,16672
117488,2721
117488,26744
85922,7938
85922,10394
48462,25636
90282,18178
4620,9240
4620,31371
106292,22806
106292,30568
94796,7313
94796,4255
15655,1812
849,17033
849,31244
79141,9065
4238,11402
4238,25165
1558,7067
1558,5214
1558,354
66190,24501
88640,11395
88640,21131
12965,1378
1432,5412
87763,26431
87763,10270
87763,6012
99581,26657
99581,8188
14929,3666
2131,23186
2131,201
2913,1186
2913,10559
62649,22396
58981,27444
7458,20198
96777,25007
96777,21765
125988,25662
83631,4274
93785,4266
93785,22664
93785,3704
6782,10201
6782,27715
62858,10413
62858,30840
62858,31187
63764,24299
4743,24240
4743,24375
4743,10270
4743,6012
2405,15284
87527,25203
32218,1378
32218,7961
2260,31200
81046,9880
81046,16388
62822,19589
62822,674
2122,26975
2122,10394
49011,10217
49011,13164
49011,23154
67389,7674
82809,8851
121,1243
121,1740
121,14179
121,17478
15621,30526
79818,27346
79818,4622
79818,28121
5835,24654
83596,27127
71715,7996
141,27327
141,16552
141,12630
1126,21397
1126,5963
1126,491
71769,14915
46928,27879
45016,15318
2355,11123
2355,15759
2140,28848
62517,15556
62517,17562
62517,31815
62517,4187
75208,22209
87917,1980
87917,1139
87917,7197
18197,7259
15842,24834
71116,1770
71116,14312
63623,1435
81349,8651
114501,17014
114501,1959
99588,6945
99588,26391
99588,21556
99588,15886
99588,12993
99588,7018
91275,31078
60726,14537
77236,23383
194766,4721
194766,30412
1435,7383
1435,7853
84647,13890
86848,7383
86848,7853
136283,25636
136283,31798
79622,6550
90447,4896
90447,25504
39269,16262
35935,18469
5739,8577
5739,13895
5739,8989
5739,24013
1428,10146
99494,1824
99494,2139
85021,26575
85021,27620
2287,3071
2287,31760
66871,2607
66871,26968
79086,4295
79086,20692
36,4288
210232,13278
210232,14594
44824,21942
1940,6659
60585,27686
1410,10295
73544,12979
117023,481
117023,25895
62699,6588
61671,24671
61671,13335
93287,16886
88052,12842
88052,30389
2327,24436
2902,9662
2902,25916
66433,15700
549,12022
100412,17386
33761,24763
33761,6093
79863,23355
127865,1610
127865,24928
127865,3640
127865,7172
60858,3078
92468,8543
92468,17076
3772,2198
3772,13626
4615,5615
2224,4429
2224,13871
46511,27071
114395,24899
114395,16895
116450,11174
1777,18224
1777,12431
4271,14339
197588,4877
197588,15120
42295,19512
51019,5153
88324,6695
73467,22997
3137,8376
82282,4518
15079,31495
15079,14129
15079,1552
112314,19207
79084,13278
79084,22811
79084,753
236,18069
236,27467
1615,9404
1615,4376
128883,19893
128883,22588
424,8897
346,2978
68073,3278
93811,27478
91977,18328
45094,24436
58539,1378
58539,23893
62413,5355
16830,9041
5687,31487
5459,6093
108296,30250
71225,5863
71225,23803
71225,18597
155537,20211
2437,23180
2437,20820
2437,17713
709,9281
709,17889
