show_id,genre_type_id
1399,7
1399,12
1399,16
71446,4
71446,12
66732,12
66732,7
66732,19
1402,16
1402,12
1402,7
63174,4
63174,7
69050,4
69050,12
69050,19
93405,16
93405,19
93405,12
1396,12
1396,4
71712,12
85271,7
85271,19
85271,12
60735,12
60735,7
1418,3
84958,12
84958,7
1416,12
82856,7
82856,16
82856,12
456,11
456,15
456,3
85552,12
85552,4
75006,16
75006,7
75006,12
60574,12
60574,4
76669,4
76669,19
76669,12
76479,7
76479,16
60625,15
60625,3
60625,7
60625,16
18165,12
18165,7
88396,16
88396,12
31910,15
31910,16
31910,7
48866,7
48866,12
48866,16
119051,7
119051,19
119051,3
1668,3
1622,12
1622,19
1622,7
81356,3
81356,12
44217,16
44217,12
44217,6
70523,12
70523,7
70523,19
1408,12
1408,19
77169,16
77169,12
77169,3
85937,15
85937,16
85937,7
1412,4
1412,12
1412,19
1412,16
1429,7
1429,15
1429,16
87108,12
1413,12
1413,19
1413,7
46260,15
46260,16
46260,7
71912,12
71912,16
71912,7
12637,3
12637,8
12637,12
63247,7
63247,9
82883,12
82883,4
19885,4
19885,12
19885,19
62104,16
62104,15
62104,7
62715,15
62715,16
62715,7
62286,16
62286,12
2288,16
2288,4
2288,12
65930,16
65930,15
37680,12
70785,12
70785,11
42009,7
42009,12
42009,19
1100,3
60059,4
60059,12
65334,16
65334,15
65334,2
105214,19
105214,12
62560,4
62560,12
12971,15
12971,7
12971,16
100088,12
37854,16
37854,3
37854,15
61889,4
61889,12
61889,16
62688,12
62688,7
62688,16
2004,11
2004,3
1434,15
1434,3
66788,12
66788,19
2190,15
2190,3
87739,12
34524,7
34524,12
4604,7
4604,16
4604,12
90462,4
90462,7
90462,12
95557,15
95557,7
95557,16
95557,12
60797,16
60797,12
60797,4
91363,15
91363,16
91363,7
1405,4
1405,12
1405,19
4607,19
4607,16
13916,15
13916,19
13916,7
246,15
246,16
246,7
2316,3
94997,7
94997,12
94997,16
4057,4
4057,12
4057,19
2734,4
2734,12
2734,19
5920,4
5920,12
5920,19
46331,12
46331,19
46331,7
43348,4
43348,12
94605,15
94605,12
94605,7
94605,16
99966,16
99966,12
99966,7
79242,19
79242,7
79242,12
1403,12
1403,7
1403,16
63926,16
63926,15
63926,3
80213,19
80213,4
80213,12
71886,7
71886,12
60708,12
60708,4
60708,7
16286,8
16286,3
16286,12
46896,7
46896,12
46896,19
4613,12
4613,6
104877,12
104877,3
1911,4
1911,12
88329,12
88329,3
88329,16
80020,15
80020,16
80020,7
48891,3
48891,4
39351,12
39351,19
39351,7
615,15
615,3
615,7
2691,3
2691,12
46952,12
46952,4
46952,19
86831,15
86831,7
19614,19
19614,12
78191,12
95479,15
95479,16
95479,7
12609,15
12609,16
12609,7
46648,12
74577,3
74577,12
74577,4
44953,4
44953,12
44953,8
