show_id,network_type_id
1399,2321
71446,2847
71446,2111
66732,2847
1402,2678
63174,1437
63174,2847
69050,2286
93405,2847
1396,2678
71712,2065
85271,2320
60735,2286
1418,3274
84958,2320
1416,2065
82856,2320
456,1437
85552,2321
75006,2847
60574,2062
60574,1954
76669,2847
76479,73
60625,2506
18165,2286
88396,2320
31910,2409
48866,2286
119051,2847
1668,1805
1622,319
1622,2286
81356,2847
44217,73
44217,1294
70523,2847
1408,1437
77169,2847
77169,2296
85937,2117
85937,3030
85937,1548
85937,579
85937,797
85937,2281
85937,1134
85937,1222
85937,8
85937,219
85937,1208
85937,1964
85937,3040
85937,3209
85937,1122
85937,3351
85937,2968
85937,2736
85937,194
85937,1029
85937,2548
85937,1347
85937,1661
85937,3238
85937,3043
85937,2927
85937,2635
85937,1835
85937,1696
85937,3184
85937,1495
85937,772
1412,2286
1429,2658
1429,995
1429,1548
87108,2321
1413,2585
46260,2409
71912,2847
12637,1591
12637,933
63247,2321
82883,43
19885,2062
62104,2285
62104,2658
62104,2409
62104,2323
62104,2616
62104,1189
62104,418
62104,2712
62104,1549
62104,891
62104,2070
62104,926
62104,229
62104,1459
62104,1682
62104,1042
62104,1229
62104,1172
62104,534
62104,1368
62104,740
62104,328
62104,3361
62104,2787
62104,2599
62104,2139
62104,736
62104,1438
62104,912
62104,813
62104,3388
62104,148
62104,848
62104,1583
62104,1251
62715,2117
62286,2678
2288,1437
65930,1117
65930,2658
65930,2323
65930,3075
37680,2233
70785,3258
42009,1065
42009,2847
1100,3274
60059,2678
65334,1446
105214,2847
62560,2233
12971,2117
100088,2321
37854,2117
61889,2847
62688,3274
62688,2286
2004,1437
1434,1437
66788,2847
2190,2930
87739,2847
34524,3029
4604,319
4604,2286
90462,2233
90462,127
95557,73
60797,3274
91363,2320
1405,1863
4607,2065
13916,1117
246,2902
2316,1805
94997,2321
4057,3274
4057,2174
2734,1805
5920,3274
46331,3274
43348,1318
94605,2847
99966,2847
79242,2847
1403,2065
63926,2409
63926,1189
63926,2712
80213,2233
71886,1194
60708,1437
16286,712
46896,2286
4613,2321
104877,1437
1911,1437
88329,2320
80020,2117
48891,1805
48891,1437
39351,1805
615,1437
615,2930
615,43
2691,3274
46952,1805
86831,2847
19614,2065
78191,2188
78191,2847
95479,2658
95479,2323
95479,2616
95479,1549
95479,2070
95479,229
95479,1459
95479,1042
95479,1229
95479,3163
95479,1172
95479,534
95479,1368
95479,740
95479,328
95479,3361
95479,2787
95479,2599
95479,2139
95479,736
95479,1438
95479,912
95479,813
95479,3388
95479,148
95479,848
95479,1583
95479,1251
12609,2117
46648,2321
74577,1065
44953,529
79460,2286
387,2902
4087,1437
67335,529
57243,2062
60866,2286
1409,2585
67915,2798
40075,1792
40075,165
63351,2847
75450,1755
75450,1689
15260,303
69478,43
31917,2879
31917,1194
1425,2847
56570,937
92749,2320
1421,2065
110492,1689
62455,972
62455,2111
62710,1805
70881,2409
1398,2321
27240,1294
60622,2585
34307,1863
102903,2847
113988,2847
115036,2320
1424,2847
84773,73
67178,2847
46296,937
58841,1805
62127,2847
95594,2847
75219,1437
80752,10
1705,1437
62643,2286
71728,3274
16997,2321
40008,1805
67744,2847
61222,2847
61374,1548
1981,319
38472,2847
63639,127
63639,73
1892,1805
4614,3274
95057,2286
91239,2847
1639,1805
44006,1805
1407,1863
154521,43
69740,2847
45871,972
72844,2847
39272,2065
52814,2174
11250,529
1438,2321
90239,2668
105,2321
1433,1437
1433,2323
96815,2847
1395,2286
35610,1051
35610,1117
35610,3075
89641,2847
33880,2902
1437,1437
96677,2847
92783,2320
71914,73
65494,2847
31132,303
12697,2117
1920,2065
1920,1863
31586,529
73586,475
4194,303
4194,2847
4194,2320
31911,2658
31911,2323
31911,2616
31911,534
93741,2847
2038,2902
90802,2847
63401,303
47,933
71915,73
76121,1548
77606,2847
12926,1591
12926,933
1400,1805
90260,2847
110316,2847
68421,2847
61550,2065
10545,2321
45950,3372
1419,2065
47640,2585
693,2065
62046,1437
30984,2409
30984,1652
16420,1670
16420,2443
45782,3030
45782,1548
45782,2412
45782,579
45782,1134
62126,2847
31356,2902
100883,2847
4556,1805
4556,2065
67198,571
67198,2174
80743,2847
97180,2847
1606,3274
60572,2409
60572,1189
60572,418
60572,2712
60572,891
60572,926
42035,2111
85949,571
85949,2174
32798,3274
31251,2902
95,319
95,2988
64432,127
114868,2847
4686,303
63333,2847
63333,1954
1411,3274
97186,43
97186,2320
46298,1117
71411,1591
1415,3274
1620,3274
120089,2409
120089,1189
120089,418
120089,2712
120089,891
120089,926
71740,88
18347,1805
18347,1074
46639,937
46786,1352
112888,2798
79744,2065
68507,2062
61056,2065
89247,2286
74428,1771
62264,937
890,2409
72305,2658
72305,1548
61664,2847
75758,2847
117581,2847
2098,1437
2098,1602
86430,1863
80240,1318
30991,2409
30991,1716
79699,712
79699,529
92685,1792
60573,2321
92830,2320
39340,3274
58474,1437
58474,1317
60743,1805
4629,1863
4629,127
72637,165
72637,1792
92396,712
71789,3274
71789,2174
76773,2065
153312,2174
69629,1437
100834,223
85723,1689
1972,127
2085,303
100049,3372
100049,1548
5371,2902
1973,1437
90461,2320
8358,1437
66573,1805
79696,1805
79696,2847
67136,1805
97175,2847
87784,10
66292,2321
64464,43
655,1899
94667,73
84661,2321
97546,10
89456,2506
52,1437
8592,1805
37606,303
62285,2847
86031,1548
86031,1643
61923,165
61923,1792
114410,2409
114410,1189
114410,418
114410,2712
114410,891
114410,926
45790,1548
45790,579
45790,378
73375,73
67195,2585
103768,2847
1420,1437
61617,303
71790,3274
79501,1755
79501,1689
79501,2606
21510,2233
85720,2847
126280,2847
128839,1805
79788,2321
57706,2117
58450,933
115857,2847
4589,1437
4589,2847
47665,937
96462,2798
2490,1065
80623,2847
83095,3372
4616,1899
80968,2847
54671,1863
45815,2866
74016,1437
82596,2847
4327,308
65844,1548
60863,2658
60863,2323
60863,2616
60863,229
60863,1459
42444,2285
79525,2582
120168,2847
54650,937
2384,1805
67070,944
67070,2062
253,1805
4336,2930
42671,3372
56296,1890
56296,463
76719,2847
107113,43
86423,2847
72750,463
115004,2321
87689,2847
62017,73
1891,2321
65708,2062
65708,2585
71024,2847
900,761
79680,2221
31268,712
13027,933
10283,2585
10283,1339
96648,2847
604,303
82739,3021
17610,3274
34967,2221
5451,529
1431,3274
61175,303
90027,73
18011,355
18011,88
18011,933
62823,3029
62823,704
61459,1117
124834,2847
94305,2678
80986,2286
80986,1755
90937,2117
61852,2902
63407,933
105009,2658
41727,1202
1104,2678
31072,933
83100,2409
69061,2847
70828,1318
7842,2065
4574,1437
4574,1602
66203,1792
73481,712
64230,2678
90669,2847
2352,3274
62650,1805
105248,2847
102966,529
86248,73
4658,1805
62914,1959
62914,1193
81354,2847
6040,303
33217,303
33217,1755
33217,1689
93740,10
71738,1437
71738,43
67075,1548
1778,2902
68267,2847
83097,2117
5178,3181
1215,1863
605,2065
605,319
60948,127
2309,2902
71578,2847
66084,738
89393,1437
109958,2847
79649,1294
1044,2062
74204,2847
125910,2847
62110,2117
4313,2065
74440,1755
74440,1689
74440,2606
34391,165
98986,3372
63109,52
2710,2585
2710,1339
131927,1863
92782,2320
65249,2117
79240,1755
888,1437
888,1602
73021,2847
50825,1437
92967,1437
12313,1890
39852,2233
39852,2847
91557,2847
81146,712
1600,2902
1621,2321
89905,944
18123,303
1426,2062
