origin_country_type_id,origin_country_name
1,PL
2,MP
3,UG
4,FJ
5,BS
6,CD
7,GE
8,SU
9,LU
10,TH
11,NC
12,AE
13,NO
14,CS
15,MA
16,US
17,TN
18,AT
19,BY
20,GR
21,CM
22,IQ
23,YE
24,TZ
25,TC
26,GB
27,TW
28,SG
29,AF
30,YU
31,EG
32,AU
33,IR
34,ZA
35,CO
36,SY
37,NP
38,AM
39,ZM
40,AR
41,SE
42,ZW
43,IN
44,IT
45,EE
46,PE
47,PS
48,JM
49,PH
50,UY
51,BN
52,KR
53,KE
54,BU
55,PR
56,LB
57,AN
58,PA
59,AL
60,RO
61,NE
62,LT
63,IS
64,BH
65,BW
66,HK
67,CU
68,MU
69,TT
70,RS
71,BE
72,CZ
73,TO
74,BR
75,PG
76,NG
77,UA
78,SI
79,HR
80,AD
81,CL
82,ST
83,ML
84,DO
85,JP
86,UZ
87,LV
88,ET
89,VE
90,BF
91,BD
92,AO
93,LA
94,TR
95,XG
96,MD
97,XI
98,SA
99,AZ
100,BG
101,CI
102,DK
103,SK
104,RU
105,NZ
106,VU
107,FR
108,CF
109,TG
110,SN
111,PT
112,GA
113,KZ
114,PK
115,GT
116,AW
117,SZ
118,EC
119,MK
120,MT
121,DZ
122,BA
123,IL
124,CY
125,MY
126,QA
127,CH
128,XK
129,HU
130,LY
131,GH
132,FI
133,XC
134,BO
135,PY
136,DE
137,MQ
138,NL
139,MM
140,MV
141,HN
142,KP
143,CR
144,KH
145,IE
146,CN
147,VN
148,JO
149,MN
150,ES
151,SO
152,LK
153,NI
154,MX
155,IO
156,ME
157,BZ
158,KW
159,CA
160,ID
