show_id,production_company_type_id
1399,3212
1399,1345
1399,5460
1399,6720
71446,9691
66732,14460
66732,17590
1402,8887
1402,20129
1402,21310
1402,2660
1402,19382
1402,17004
63174,11454
63174,15433
63174,15299
63174,228
69050,11454
69050,1497
69050,17233
69050,19117
93405,9738
93405,16341
1396,3652
1396,9741
1396,19629
71712,14495
71712,4333
71712,3652
85271,20143
60735,11454
60735,1497
60735,15433
1418,7619
1418,11454
84958,20143
1416,21082
1416,19228
1416,14495
1416,17453
82856,8802
82856,4130
82856,10540
456,18718
456,11027
456,9710
456,21508
85552,2355
85552,18903
85552,9421
85552,2149
85552,9530
85552,13091
85552,7063
85552,9719
85552,18259
75006,18046
75006,12937
60574,11033
60574,3546
60574,18587
60574,2040
76669,18627
76479,16505
76479,553
76479,3652
76479,4524
76479,15752
76479,14553
76479,5969
60625,9875
60625,16079
60625,13961
60625,15603
60625,13748
18165,11454
18165,20756
18165,2492
18165,8160
18165,17233
88396,20143
31910,19266
31910,38
31910,14401
48866,11454
48866,20756
48866,8160
48866,17233
119051,3200
119051,1220
119051,208
1668,11454
1668,2781
1622,4524
1622,6614
1622,5117
1622,11454
81356,19612
44217,6574
44217,7085
44217,17917
70523,7479
1408,20368
1408,5420
1408,5300
1408,15886
77169,6663
77169,3652
77169,18529
85937,13827
85937,20179
85937,4324
1412,1497
1412,15433
1412,11454
1429,10625
1429,14266
1429,12586
1429,8873
1429,3806
1429,10643
1429,13469
1429,10813
1429,13782
87108,12323
87108,632
87108,5448
1413,15272
1413,8422
1413,21508
1413,11027
1413,8495
46260,38
46260,14401
71912,6247
71912,57
71912,191
71912,4224
71912,19782
12637,14398
63247,11454
63247,6895
63247,14906
63247,11826
82883,12937
82883,11265
19885,370
19885,9122
19885,14491
62104,7409
62104,3965
62715,15311
62715,9443
62715,14509
62715,15695
62286,21310
62286,8887
62286,20129
62286,17004
62286,19382
2288,5979
2288,7255
2288,1630
2288,11027
65930,7014
65930,4324
65930,6559
65930,13469
65930,17029
65930,9233
65930,17727
37680,891
37680,8152
37680,12937
70785,2517
70785,19098
42009,5019
42009,7262
1100,2017
1100,11027
60059,3652
60059,8887
60059,9741
60059,19629
65334,8306
65334,9443
65334,11442
65334,11407
62560,641
62560,12937
62560,12264
12971,14509
12971,5201
12971,9443
12971,15695
100088,18202
100088,3652
100088,9859
100088,5448
100088,632
100088,13091
37854,9443
37854,14509
37854,9695
37854,4324
37854,19962
61889,14495
61889,15884
61889,18745
61889,5022
62688,15433
62688,1497
62688,11454
2004,12075
2004,21008
1434,11027
1434,19206
1434,9710
1434,21508
66788,13672
66788,641
2190,8053
2190,1496
2190,13769
2190,4853
87739,3103
87739,8506
4604,10685
4604,11454
4604,17694
4604,1220
90462,6565
90462,11265
90462,12937
95557,16505
95557,5561
95557,19382
60797,17678
60797,20094
60797,2144
60797,8881
60797,17233
91363,20143
91363,20280
91363,6811
91363,96
91363,6216
1405,18887
1405,7758
1405,786
1405,10456
1405,694
4607,14495
4607,14906
13916,9538
246,6715
246,20358
246,18471
246,19343
94997,13091
94997,863
94997,4804
94997,8461
4057,17453
4057,21082
4057,13672
4057,17233
4057,4334
4057,4187
2734,4279
2734,20368
2734,19310
2734,452
5920,11454
5920,8909
46331,5909
46331,8343
46331,17233
43348,17018
94605,17506
94605,5085
99966,691
99966,15251
99966,17378
79242,1497
79242,11454
1403,14495
1403,13957
1403,5022
1403,2440
1403,18813
63926,9538
63926,8913
63926,20231
63926,19962
63926,7925
63926,4324
63926,20410
63926,9552
63926,2730
63926,19266
80213,547
80213,19021
80213,8495
60708,15433
60708,8909
60708,11454
16286,17661
46896,11281
46896,20756
46896,17233
46896,11454
4613,4040
4613,15333
4613,14086
4613,19858
4613,12009
104877,14932
1911,11027
1911,16130
1911,21213
88329,20143
88329,5613
80020,9443
80020,14509
48891,10890
48891,20368
48891,5166
48891,9822
39351,20368
39351,2329
615,11027
615,3577
615,9710
2691,17233
2691,17061
2691,11454
46952,3652
46952,17841
46952,20368
86831,11540
86831,4512
19614,9336
19614,7697
19614,10727
78191,1497
78191,20756
78191,11454
78191,1993
78191,3532
78191,21151
95479,14266
95479,10114
95479,14660
95479,4324
95479,10813
95479,17727
12609,9443
12609,11380
12609,1423
46648,9082
46648,641
46648,3752
46648,9249
46648,7502
46648,11671
46648,13091
74577,16046
74577,2243
44953,17018
44953,10099
44953,20968
79460,11454
79460,20756
79460,17233
79460,11281
387,8943
387,14123
387,6715
4087,346
4087,11027
67335,8235
67335,10099
57243,9122
57243,8481
57243,3546
57243,16380
60866,11454
60866,11343
60866,228
1409,5359
1409,19907
1409,1887
1409,13026
67915,8675
67915,7402
40075,4308
63351,19164
75450,1497
75450,11454
75450,2554
75450,15433
15260,12173
15260,1553
69478,3200
69478,20248
69478,18369
31917,10826
31917,21151
31917,20756
31917,13952
1425,3211
1425,1862
1425,14332
56570,16501
56570,11808
56570,3652
56570,1172
92749,20143
92749,5613
1421,18726
1421,11027
1421,17102
1421,4819
110492,11454
110492,18829
110492,7220
110492,15433
62455,6969
62710,7016
62710,11454
62710,1497
70881,38
1398,13091
27240,56
60622,16111
60622,3410
60622,17440
60622,3200
60622,13026
34307,8160
