show_id,production_country_type_id,origin_country_type_id
1399,165,16
1399,30,16
71446,10,150
66732,30,16
1402,30,16
63174,30,16
69050,30,16
93405,65,52
1396,30,16
71712,30,16
85271,30,16
60735,30,16
1418,30,16
84958,30,16
1416,30,16
82856,30,16
456,30,16
85552,13,16
85552,30,16
75006,60,16
75006,30,16
60574,165,26
76669,10,150
76479,30,16
60625,30,16
18165,30,16
88396,30,16
31910,8,85
48866,30,16
119051,30,16
1668,30,16
1622,30,16
81356,165,26
44217,60,159
44217,130,159
70523,89,136
1408,30,16
77169,30,16
85937,8,85
1412,30,16
1429,8,85
87108,165,16
87108,30,16
1413,30,16
46260,8,85
71912,158,16
71912,30,16
12637,170,154
63247,30,16
82883,30,16
19885,165,26
19885,30,26
62104,8,85
62715,8,85
62286,30,16
65930,8,85
37680,30,16
70785,60,159
42009,165,26
1100,30,16
60059,30,16
65334,178,107
65334,8,107
65334,65,107
105214,170,154
62560,30,16
12971,8,85
100088,30,16
37854,8,85
61889,30,16
62688,30,16
2004,30,16
1434,30,16
66788,30,16
2190,30,16
87739,30,16
4604,30,16
90462,30,16
95557,60,16
95557,30,16
60797,30,16
91363,74,16
91363,60,16
91363,178,16
91363,30,16
1405,30,16
4607,30,16
13916,8,85
246,65,16
246,30,16
2316,30,16
94997,30,16
4057,30,16
2734,30,16
5920,30,16
46331,30,16
94605,178,16
94605,30,16
99966,65,52
79242,60,16
79242,30,16
1403,30,16
63926,8,85
80213,30,16
71886,30,16
60708,30,16
16286,99,35
46896,30,16
4613,90,16
4613,165,16
4613,30,16
104877,148,94
1911,30,16
88329,30,16
80020,8,85
48891,30,16
615,30,16
2691,30,16
46952,30,16
86831,30,16
19614,30,16
78191,30,16
95479,8,85
12609,8,85
46648,30,16
74577,165,26
44953,170,16
44953,30,16
44953,99,16
387,30,16
4087,30,16
67335,99,35
57243,60,26
57243,165,26
60866,30,16
1409,30,16
67915,65,52
40075,30,16
63351,30,16
75450,30,16
15260,30,16
69478,60,16
69478,30,16
31917,30,16
56570,165,16
56570,30,16
92749,30,16
1421,30,16
110492,30,16
62710,30,16
70881,8,85
1398,30,16
60622,30,16
34307,30,16
102903,170,154
113988,30,16
115036,30,16
1424,30,16
84773,30,16
67178,30,16
58841,30,16
62127,30,16
95594,30,16
75219,30,16
80752,165,159
80752,30,159
1705,30,16
62643,30,16
71728,30,16
40008,30,16
67744,30,16
61222,30,16
61374,8,85
1981,30,16
38472,30,16
63639,60,16
63639,30,16
1892,30,16
4614,30,16
95057,30,16
91239,30,16
1639,30,16
44006,30,16
1407,13,16
1407,30,16
154521,30,16
69740,30,16
45871,10,150
72844,30,16
39272,30,16
52814,165,16
52814,30,16
1438,30,16
90239,170,154
105,30,16
1433,30,16
96815,30,16
35610,8,85
89641,65,52
33880,8,16
33880,30,16
33880,65,16
1437,30,16
96677,178,107
92783,30,16
71914,30,16
65494,165,26
65494,165,16
65494,30,26
65494,30,16
31132,30,16
12697,8,85
1920,30,16
73586,30,16
4194,30,16
31911,8,85
93741,30,16
2038,30,16
90802,30,16
63401,30,16
47,170,154
71915,165,26
71915,30,26
76121,8,85
77606,30,16
12926,170,154
1400,30,16
90260,30,16
110316,8,85
68421,30,16
