vote_count,vote_average,show_id
21857,8.442,1399
17836,8.257,71446
16161,8.624,66732
15432,8.121,1402
13870,8.486,63174
13180,8.479,69050
13053,7.831,93405
12398,8.89,1396
11768,8.503,71712
11308,8.3,85271
10642,7.797,60735
10322,7.879,1418
10136,8.2,84958
9512,8.253,1416
9353,8.5,82856
9136,7.999,456
9008,8.353,85552
8891,8.604,75006
8836,8.546,60574
8817,8.071,76669
8721,8.474,76479
8595,8.7,60625
8356,8.337,18165
8008,7.693,88396
7712,8.6,31910
7666,7.916,48866
7506,8.548,119051
7192,8.444,1668
6909,8.304,1622
6647,8.304,81356
6385,8.086,44217
6049,8.432,70523
5799,8.595,1408
5734,8.22,77169
5618,8.7,85937
5569,6.793,1412
5492,8.657,1429
5376,8.649,87108
5198,8.145,1413
5189,8.36,46260
5159,8.132,71912
5017,8.433,12637
4948,8.075,63247
4899,7.57,82883
4716,8.537,19885
4710,8.462,62104
4646,8.208,62715
4591,7.693,62286
4508,8.094,2288
4496,8.673,65930
4470,8.208,37680
4383,8.696,70785
4382,8.306,42009
4376,8.158,1100
4354,8.645,60059
4197,8.043,65334
4181,7.3,105214
4119,8.242,62560
4070,8.3,12971
4065,8.658,100088
4052,8.725,37854
4046,8.172,61889
3974,7.334,62688
3896,8.495,2004
3884,7.288,1434
3827,7.647,66788
3813,8.359,2190
3810,8.524,87739
3803,8.569,34524
3730,8.232,4604
3724,7.9,90462
3717,8.677,95557
3688,8.246,60797
3676,8.208,91363
3675,8.19,1405
3659,7.961,4607
3605,8.64,13916
3497,8.69,246
3443,8.587,2316
3413,8.448,94997
3413,8.324,4057
3389,7.962,2734
3378,8.39,5920
3355,7.214,46331
3350,7.603,43348
3341,8.74,94605
3335,8.354,99966
3320,8.242,79242
3221,7.492,1403
3207,8.381,63926
3204,6.929,80213
3171,7.75,71886
3157,7.6,60708
3133,8.335,16286
3125,8.6,46896
3107,8.488,4613
2920,8.2,104877
2891,8.264,1911
2887,7.96,88329
2882,7.564,80020
2875,8.236,48891
2869,8.283,39351
2867,8.396,615
2843,7.452,2691
2834,7.619,46952
2804,8.264,86831
2794,6.905,19614
2788,8.078,78191
2788,8.563,95479
2788,8.2,12609
2787,8.305,46648
2786,8.094,74577
2777,7.909,44953
2769,8.496,79460
2747,7.617,387
2726,8.397,4087
2676,7.541,67335
2639,7.4,57243
2628,7.797,60866
2569,8.445,1409
2545,8.66,67915
2512,8.531,40075
2493,8.006,63351
2487,7.975,75450
2474,8.477,15260
2457,8.2,69478
2425,8.028,31917
2403,8.045,1425
2403,8.217,56570
2392,7.816,92749
2346,7.841,1421
2334,8.326,110492
2318,8.017,62455
2293,7.378,62710
2293,7.89,70881
2292,8.6,1398
2282,7.7,27240
2278,8.313,60622
2268,8.2,34307
2242,8.227,102903
2228,8.061,113988
2223,7.71,115036
2222,7.688,1424
2210,7.408,84773
2207,8.119,67178
2192,7.997,46296
2186,8.453,58841
2179,6.529,62127
2166,6.976,95594
2165,8.224,75219
2163,8.2,80752
2154,8.119,1705
2130,7.332,62643
2124,8.057,71728
2123,7.738,16997
2121,8.23,40008
2099,8.069,67744
2083,8.558,61222
2072,8.374,61374
2068,8.189,1981
2059,7.529,38472
2058,8.054,63639
2056,7.955,1892
2047,7.631,4614
2047,8.1,95057
2045,8.143,91239
2018,7.487,1639
2008,8.4,44006
1969,7.544,1407
1968,8.63,154521
1968,8.244,69740
1966,7.86,45871
1953,8.1,72844
1948,7.315,39272
1926,8.3,52814
1925,7.641,11250
1889,8.535,1438
1878,7.483,90239
1871,7.4,105
1861,6.952,1433
1856,6.553,96815
1852,8.302,1395
1851,8.587,35610
1843,8.402,89641
1841,8.253,33880
1830,8.331,1437
1824,7.769,96677
1816,6.378,92783
1809,7.74,71914
1794,8.236,65494
1783,8.655,31132
1783,7.678,12697
1775,8.295,1920
1769,7.839,31586
1768,8.2,73586
1767,8.474,4194
1749,8.699,31911
1745,8.031,93741
1736,8.371,2038
1726,8.064,90802
1721,7.728,63401
1717,7.904,47
1708,8.1,71915
1700,8.619,76121
1687,7.043,77606
1681,7.646,12926
1671,8.282,1400
1667,8.107,90260
1666,8.192,110316
1658,7.713,68421
1645,7.535,61550
1641,7.624,10545
1638,8.626,45950
1632,8.012,1419
1632,7.5,47640
1628,7.929,693
1609,7.899,62046
1602,8.409,30984
1592,8.249,16420
1587,8.211,45782
1574,6.962,62126
1565,8.636,31356
1557,8.161,100883
1553,8.039,4556
1542,7.147,67198
1542,7.82,80743
1542,7.509,97180
1541,8.088,1606
1538,7.743,60572
1536,7.841,42035
1533,7.329,85949
1526,7.729,32798
1522,8.218,31251
1517,8.172,95
1503,7.654,64432
1499,8.513,114868
1487,8.147,4686
1485,8.29,63333
1483,8.1,1411
1478,8.63,97186
1472,8.647,46298
1470,7.503,71411
1465,7.572,1415
1461,7.755,1620
1458,8.612,120089
1446,8.0,71740
1442,7.984,18347
1441,7.099,46639
1441,8.102,46786
1433,8.472,112888
1431,8.272,79744
1431,7.963,68507
1429,7.88,61056
1428,7.043,89247
1428,7.469,74428
1427,7.688,62264
1423,8.637,890
1412,8.2,72305
1407,7.8,61664
1402,7.575,75758
1397,8.1,117581
1392,8.512,2098
1392,8.17,86430
1391,7.983,80240
1384,8.5,30991
1380,8.036,79699
1379,8.656,92685
1379,8.132,60573
