show_id,spoken_language_type_id
1399,6
71446,73
66732,6
1402,6
63174,6
69050,6
93405,6
93405,72
93405,70
1396,6
1396,62
1396,73
71712,6
85271,6
60735,6
1418,6
84958,6
1416,6
82856,6
456,6
85552,6
75006,6
60574,6
76669,73
76479,6
60625,6
18165,6
88396,6
31910,53
48866,6
119051,6
1668,6
1622,6
81356,6
44217,6
70523,62
1408,6
77169,6
85937,53
1412,6
1429,53
87108,6
1413,6
46260,53
71912,6
12637,73
63247,6
82883,6
19885,6
62104,53
62715,53
62286,6
62286,73
2288,6
65930,53
37680,6
70785,6
42009,6
1100,6
60059,6
60059,62
60059,73
65334,40
105214,73
62560,6
12971,53
100088,6
37854,53
61889,6
62688,6
2004,6
1434,6
66788,6
2190,6
87739,6
87739,40
87739,8
87739,73
34524,6
4604,6
90462,6
95557,6
60797,6
91363,6
1405,6
4607,6
13916,53
246,6
2316,6
94997,6
4057,6
2734,6
5920,6
46331,6
43348,73
94605,6
99966,6
99966,72
79242,6
1403,6
63926,53
80213,6
71886,6
60708,6
16286,33
16286,73
46896,6
4613,62
4613,40
4613,24
4613,16
4613,6
104877,65
1911,6
88329,6
80020,53
48891,6
39351,6
615,6
2691,6
46952,6
86831,6
19614,6
78191,6
95479,53
12609,53
46648,6
74577,6
44953,73
79460,6
387,6
4087,6
67335,73
57243,6
60866,6
1409,6
67915,72
40075,6
63351,73
63351,6
75450,6
75450,62
15260,6
69478,6
31917,6
1425,6
56570,40
56570,6
92749,6
1421,6
110492,6
62455,3
62455,73
62710,6
70881,53
1398,6
27240,6
60622,6
34307,6
102903,73
113988,6
115036,6
1424,6
84773,6
84773,65
67178,6
46296,6
58841,6
62127,6
95594,6
75219,6
80752,6
1705,6
62643,6
71728,6
16997,6
40008,6
67744,6
61222,6
61374,53
1981,6
38472,6
63639,6
1892,6
4614,6
95057,6
91239,6
1639,73
1639,6
1639,53
44006,6
1407,6
154521,6
69740,6
45871,73
72844,6
39272,6
52814,6
11250,73
1438,73
1438,6
1438,59
1438,50
90239,73
105,6
1433,6
96815,6
1395,6
35610,53
89641,6
89641,72
89641,3
33880,6
1437,6
96677,40
92783,6
71914,6
65494,6
31132,6
12697,53
1920,6
1920,56
1920,4
31586,73
73586,6
4194,6
31911,53
93741,6
93741,3
93741,71
2038,6
90802,6
63401,6
47,73
71915,6
76121,53
77606,6
12926,73
1400,6
90260,6
110316,53
68421,6
61550,6
10545,6
45950,53
1419,6
47640,6
47640,73
693,6
62046,6
30984,53
16420,72
45782,53
62126,6
31356,6
100883,6
4556,6
67198,6
80743,6
97180,6
1606,6
60572,53
42035,73
85949,6
32798,6
31251,6
95,6
64432,6
114868,53
4686,6
63333,6
1411,6
97186,6
46298,53
71411,73
1415,6
1620,6
120089,53
71740,73
18347,6
46639,6
46786,6
112888,72
79744,6
68507,6
61056,6
89247,6
74428,73
62264,6
890,53
72305,53
61664,6
75758,6
117581,6
2098,6
86430,6
80240,73
30991,53
79699,73
92685,6
92685,58
92685,73
60573,6
92830,6
39340,6
58474,6
60743,6
4629,6
72637,73
92396,73
71789,6
76773,6
153312,6
153312,62
69629,6
100834,73
85723,6
1972,6
2085,6
100049,53
5371,6
1973,6
90461,6
8358,6
66573,6
79696,6
67136,6
97175,6
87784,6
66292,6
64464,6
655,6
94667,73
94667,40
94667,6
84661,6
97546,6
89456,6
89456,60
52,6
8592,6
37606,6
62285,6
86031,53
61923,6
114410,53
45790,53
73375,18
73375,6
73375,40
73375,62
73375,53
73375,8
73375,73
73375,65
67195,6
103768,6
103768,52
1420,6
61617,6
71790,6
79501,6
21510,6
85720,6
126280,6
128839,6
79788,6
57706,53
58450,40
115857,73
4589,6
47665,6
47665,73
96462,72
2490,6
80623,53
83095,53
4616,6
80968,6
80968,73
54671,6
45815,3
74016,6
82596,6
82596,40
4327,6
65844,53
60863,53
42444,53
79525,6
120168,73
54650,6
2384,6
67070,6
253,6
4336,6
42671,53
56296,6
76719,58
107113,6
86423,6
72750,6
115004,6
87689,6
62017,53
62017,6
62017,62
1891,6
65708,6
71024,6
900,6
79680,6
31268,73
13027,73
10283,6
96648,72
604,6
82739,53
17610,6
34967,6
5451,6
5451,73
1431,6
61175,6
90027,6
18011,73
62823,6
61459,53
124834,6
94305,6
80986,6
90937,53
61852,6
63407,73
105009,53
41727,6
1104,6
31072,73
83100,53
69061,6
70828,73
7842,6
4574,6
66203,73
73481,73
64230,6
90669,62
90669,38
90669,58
90669,40
90669,6
90669,73
90669,57
90669,35
90669,44
90669,3
2352,6
62650,6
105248,53
102966,6
102966,73
86248,6
4658,6
62914,63
81354,6
6040,6
33217,6
93740,6
71738,6
67075,53
1778,6
68267,6
83097,6
83097,53
5178,72
1215,6
605,6
60948,6
2309,6
71578,6
66084,73
89393,6
109958,6
79649,6
1044,6
74204,6
125910,6
125910,73
125910,57
125910,33
62110,53
4313,6
74440,6
34391,6
98986,53
63109,17
63109,3
2710,6
131927,6
92782,6
65249,53
79240,6
888,6
73021,6
50825,6
92967,65
12313,6
39852,6
91557,44
81146,73
1600,6
1621,6
89905,6
18123,6
1426,6
63210,6
2290,6
93812,6
1695,6
43899,6
61223,53
3763,6
80350,6
4239,6
897,6
1404,6
4500,6
252,6
42589,53
64513,6
66276,6
66276,70
61663,53
2317,6
46261,53
1516,6
1988,6
80169,73
82747,6
42705,53
61859,6
70593,72
18350,6
18350,73
83125,6
54344,6
33907,6
60802,6
3570,53
110290,6
4630,6
14141,6
97513,73
4586,6
14814,6
64122,6
83867,6
67133,6
89901,6
98387,73
76331,6
902,53
2426,6
95396,6
67026,6
67466,6
72002,6
1274,6
63767,72
7225,6
1781,6
607,6
96316,53
66330,72
105971,6
32726,6
99071,53
537,6
127235,6
71663,6
80564,53
65820,6
86374,6
86374,40
108978,6
1855,6
96160,72
95601,73
95601,63
1996,6
95403,6
62741,53
93846,50
93846,6
93846,53
93846,72
83639,71
433,6
42573,53
78722,73
6357,6
36250,53
46533,8
46533,6
61418,6
61418,73
117376,33
117376,72
2391,6
106651,72
64196,53
62852,6
94664,53
34899,65
82104,6
65294,6
110070,53
96713,6
37863,53
61888,6
110642,6
113036,6
85801,6
31295,6
31109,6
43020,6
186,6
66398,73
61345,6
74387,6
48865,6
119243,6
69291,53
31654,53
46994,6
75191,6
62687,6
32692,6
114472,6
60957,72
240,40
240,6
12782,73
82700,73
82700,33
82700,3
25707,53
65988,6
68349,72
61593,6
71365,6
56998,53
4588,6
54155,6
60554,6
49010,6
2875,6
61709,53
110356,72
100757,6
100757,73
4229,6
3475,6
93149,53
80748,6
2129,6
80307,6
87623,65
124364,6
88040,53
90660,53
1427,6
84200,6
84200,73
1877,6
73107,6
53425,6
2996,6
62704,6
62425,6
73411,6
1660,6
61733,6
1417,6
75214,53
1406,6
81355,6
2673,6
70453,6
3854,6
32754,6
68595,6
88236,62
3498,6
76231,6
76231,73
132559,6
28136,53
79732,6
39358,6
314,6
65320,44
1423,6
1447,6
130392,6
120911,6
116135,6
2328,6
9687,6
580,6
112163,53
67773,6
3452,6
2675,6
79410,6
62273,53
56295,6
97400,6
105556,53
88055,6
46901,73
38693,6
84977,6
82684,53
65143,6
65143,72
111110,6
57532,6
606,6
95269,53
83121,53
2723,6
94280,6
5522,73
34415,6
65555,65
46028,6
68315,6
95281,73
2025,6
45,6
13023,73
926,6
62428,53
96203,53
97727,6
74682,72
2660,6
2228,6
70796,6
67116,6
67135,6
113901,73
113901,6
67126,53
160,6
98123,50
82,6
66786,6
114695,6
84669,53
86836,53
31724,53
35790,53
2382,6
42509,53
4482,6
83659,6
68734,73
4546,6
99778,53
1414,6
3322,6
98754,73
33623,6
21494,6
67683,6
76747,6
76747,3
93484,6
96557,6
47450,6
68878,73
30983,53
4018,6
68716,6
3022,6
90814,72
83851,6
69470,6
90855,6
2458,6
86850,6
86850,62
86850,52
67557,6
38974,6
2942,3
2942,2
2942,40
2942,6
2942,73
2942,62
2942,33
5148,6
2207,6
97617,2
61339,53
1436,6
73321,50
112836,72
4610,6
59427,6
73777,73
80828,6
61611,72
18685,73
65495,6
104819,73
104555,73
82816,6
4345,6
44305,6
17572,6
17572,40
4605,6
62816,6
197067,72
4608,6
111803,6
60694,6
1481,6
72517,6
72517,53
66857,6
32351,6
98034,53
86382,6
720,6
1422,6
64706,53
51817,6
79008,6
79008,73
873,6
106541,6
40293,6
60808,53
652,6
77240,53
42025,6
4429,6
96580,6
15819,6
136315,6
136315,73
57911,53
1063,53
918,6
12777,73
68129,53
11721,73
33765,6
9160,53
111141,6
61389,53
2046,6
117488,6
85922,6
48462,72
48462,6
45140,6
64710,53
90282,6
111499,73
4620,6
79434,72
35753,53
106292,6
94796,6
94796,72
15655,6
849,6
79141,50
4238,6
64684,6
1558,6
66190,6
88640,6
12965,73
1432,6
87763,73
99581,62
99581,6
14929,6
2131,6
63145,53
2913,6
88803,53
61752,53
62649,6
58981,6
7458,73
96777,72
125988,6
83631,6
93785,62
93785,2
70637,53
6782,6
86034,53
62858,6
62858,33
65648,53
63764,73
84452,73
4743,73
2405,6
87527,72
32218,73
2260,6
81046,6
62822,6
2122,6
49011,6
67389,53
42916,53
82809,73
121,6
15621,6
79818,50
